Palavra,Concretude,Valência,Alerta,Tamanho
Cama,6.84,7.84,2.68,4
Caminhar,4.5,6.5,3.18,8
Camisa,6.73,5.65,3.72,6
Câncer,4.58,1.69,7.65,6
Caneta,6.72,5.41,4.04,6
Cantor,5.99,6.56,3.51,6
Capaz,2.61,7.47,4.34,5
Carboidratos,3.8,5.82,4.83,12
Carência,2.06,3.27,5.84,8
Carícia,3.6,8.07,3.01,7
Cárie,5.86,2.21,7,5
Carinho,3.32,8.04,2.45,7
Carnaval,4.57,5.67,4.94,8
Carnívoro,4.45,5.34,5.6,9
Carro,6.85,7.18,4.5,5
Carta,6.19,6.6,3.59,5
Casa,6.63,7.71,2.75,4
Casaco,6.41,6.12,3.67,6
Castelo,6.51,6.63,4.14,7
Catástrofe,4.18,1.76,7.91,10
Cedo,2.93,4.89,4.77,4
Cega,3.68,2.54,6.25,4
Celestial,2.06,7.34,3.07,9
Cenoura,6.78,5.51,3.5,7
Cesto,6.01,5.03,4.17,5
Céu,5.18,7.87,2.98,3
Chá,6.05,6.26,3.32,3
Chão,6.23,5.76,3.76,4
Chapéu,6.76,5.31,4.5,6
Charuto,6.67,2.5,5.57,7
Chata,2.76,2.61,6.57,5
Cheirar,4.06,6.22,4.02,7
Chinelo,6.49,6.34,3.23,7
Chocolate,6.61,7.7,2.92,9
Chorar,4.32,3.54,5.54,6
Choro,4.53,3.31,6.31,5
Chuchu,6.74,4.8,3.94,6
Chulé,3.76,2.46,6.66,5
Chute,5.18,3.77,5.66,5
Chuva,6.11,6.56,3.72,5
Cidade,6.15,5.73,4.93,6
Cigarro,6.75,2.4,6.86,7
Cinto,6.7,4.87,4.88,5
Cinza,4.88,4.42,4.79,5
Circo,6.15,6.22,3.83,5
Ciúme,2.24,3.21,6.49,5
Claridade,4.67,6.16,4.2,9
Cobertor,6.86,7.5,2.36,8
Cocaína,6.13,2.45,6.51,7
Cochilar,4.38,7.71,2.19,8
Colchão,6.69,6.98,2.36,7
Colégio,6.24,6.36,5.38,7
Cólera,2.87,2.19,7.06,6
Coleta,3.38,5.31,4.43,6
Colher,6.63,5.45,3.78,6
Colo,4.11,7.46,2.85,4
Comércio,5.38,5.49,5.33,8
Comida,6.59,7.99,3.85,6
Comodidade,2.93,6.46,3.62,10
Companheiro,4.23,7.94,3.24,11
Competência,1.97,7.33,4.37,11
Completude,1.71,6.2,3.86,10
Compreensão,2.2,7.78,3.43,11
Comprido,3.25,5.05,4.33,8
Comunicação,3.39,7.28,4.79,11
Confiança,1.94,7.75,3.83,9
Confortável,2.82,7.92,2.34,11
Conquista,3.26,8.19,5.5,9
Consciência,1.61,7.19,4.48,11
Conseguir,2.72,8.17,4,9
Consequência,1.89,4.7,6.59,12
Consultório,5.87,4.65,5.8,11
Contente,2.95,7.69,2.8,8
Continuação,2.47,5.63,4.65,11
Copo,6.72,5.6,3.22,4
Cor,3.63,6.65,4.29,3
Coração,5.61,7.55,4.38,7
Corajoso,2.81,7.66,4.78,8
Coroa,6.18,6.22,4.22,5
Corpo,6.34,6.72,4.9,5
Correnteza,5.83,4.78,6.19,10
Corrigir,3.3,4.48,5.31,8
Corrupção,3.59,1.89,7.73,9
Cortina,6.3,5.22,2.98,7
Costura,4.73,4.91,4.54,7
Couve,6.44,5.07,3.9,5
Cozinha,6.15,6.27,3.72,7
Criança,6.57,7.03,3.81,7
Crime,3.56,1.76,8.01,5
Criminoso,4.74,2.15,7.81,9
Cuidado,2.33,6.33,6.7,7
Culpa,2.39,2.05,7.27,5
Cura,3.27,8.18,3.48,4
Curta,2.96,4.66,4.15,5
Curtir,2.56,7.71,3.32,6
Dança,5.32,6.9,4.45,5
Decadência,2.28,2.28,7.14,10
Decepar,5.04,2.33,7.78,7
Decepção,2.63,1.94,6.97,8
Decisão,2.09,5.77,6.3,7
Decoração,4.54,6.72,3.65,9
Dedicado,2.43,7.35,4.31,8
Dedos,6.71,5.93,3.54,5
Dedurar,2.85,2.32,6.68,7
Defeito,2.69,3.04,6.11,7
Defender,3.03,6.46,5.83,8
Defesa,2.58,6.16,5.63,6
Deficiente,4.2,3.73,6.08,10
Deformidade,3.71,2.43,6.48,11
Degolar,4.49,2.24,7.46,7
Deitado,4.97,6.86,2.19,7
Delicada,2.67,6.89,3.1,8
Delícia,2.95,8.34,3.31,7
Delinquente,3.31,2.1,6.73,11
Demônio,2.82,2.51,7.1,7
Demora,2.88,2.57,7.08,6
Dente,6.75,5.56,5.04,5
Dentista,6.06,4.31,5.97,8
Descansar,4.02,8.08,1.94,9
Descanso,2.86,7.95,1.94,8
Descartável,3.48,4.46,4.61,11
Descaso,2.41,3.12,6.48,7
Desconhecido,2.31,4.47,5.83,12
Descontrole,2.35,2.86,6.94,11
Desejo,2.59,7.48,5.75,6
Desenho,4.83,7.12,3.66,7
Desespero,2.44,2.12,7.38,9
Desfazer,2.73,3.99,5.78,8
Desilusão,1.94,2.05,6.48,9
Desonesto,2.37,2.36,7.74,9
Desperdício,2.73,2.06,6.57,11
Despreocupação,2.16,7.01,3.79,14
Deus,2.95,7.53,3.19,4
Devagar,3.3,3.93,4.36,7
Diabetes,3.52,2.24,6.91,8
Difícil,2.65,3.23,6.35,7
Dinheiro,5.99,7.36,5.53,8
Direção,2.86,6.34,5.26,7
Disciplina,2.62,6.24,5.41,10
Disco,6.46,6.39,3.52,5
Discriminação,3.18,2.42,6.83,13
Distante,3.56,3.13,5.49,8
Diversão,2.93,8.4,3.87,8
Doação,3.47,7.72,3.65,6
Doce,4.83,7.57,3.11,4
Doença,3.51,1.72,7.59,6
Dono,3.38,4.51,5.53,4
Dor,3.08,1.88,7.39,3
Dormir,4.35,8.05,2.23,6
Doutor,4.67,5.94,5.18,6
Droga,4.9,2.65,7.45,5
Duro,4.69,3.67,5.19,4
Edificante,2.68,6.14,4.14,10
Edifício,6.63,5.19,4.44,8
Edredom,6.54,7.4,2.54,7
Elástica,3.3,5.35,4.85,8
Elefante,6.73,5.22,4.51,8
Elevado,2.79,6.15,5.08,7
Elogio,2.35,8.04,3.58,6
Emoção,2.28,7.04,6.12,6
Empresário,5.46,5.94,4.77,10
Encosto,4.19,3.95,5.17,7
Energia,2.96,7.71,5.23,7
Enfermeiro,6.13,5.68,4.88,10
Engenheiro,5.5,5.37,4.75,10
Entusiasmo,2.43,7.92,4.29,10
Erro,2.87,2.65,7.41,4
Escalada,4.21,5.92,5.28,8
Escola,5.96,6.55,5.1,6
Escova,6.75,6.25,3.65,6
Escrever,5.76,6.15,4.41,8
Escuro,3.75,4.83,5.25,6
Esferográfica,5.4,5.03,4.12,13
Especialista,3.62,6.63,5.06,12
Esperto,2.83,6.93,5.48,7
Espetar,4.58,3.98,5.68,7
Espirro,5.19,4.68,4.75,7
Esquecida,2.65,3.39,5.61,9
Esquecimento,2.34,3.17,6.66,12
Essencial,2.25,7,4.83,9
Estado,3.52,4.98,4.44,6
Estatura,3.79,5.74,4.56,8
Estica,3.34,5.34,4.63,6
Estofado,6.26,6.03,3.52,8
Estojo,6.48,4.93,3.82,6
Estrada,5.78,5.94,5.23,7
Estrelas,5.76,7.39,2.91,8
Estudo,3.82,6.7,6.12,6
Estupro,4.92,1.35,8.07,7
Esverdeado,4.24,5.64,4.62,10
Euforia,2.45,6.17,5.78,7
Exército,5.78,4.09,6.36,8
Fada,3.67,5.84,3.39,4
Falador,3.59,4.93,5.09,7
Família,4.76,8.41,3.28,7
Famoso,3.22,5.87,4.35,6
Farda,6.04,4.42,5.99,5
Farelo,5.59,4.8,4.57,6
Farinha,6.59,5.51,4.29,7
Faro,2.78,6.04,4.3,4
Faxineiro,6.14,5.43,3.7,9
Fedor,3.09,2.11,6.96,5
Feia,2.74,3.31,5.76,4
Felicidade,2.31,8.38,2.75,10
Felino,4.76,4.88,4.81,6
Feliz,2.3,8.58,2.79,5
Feminina,3.92,7.15,4.01,8
Férias,4.36,8.24,3.36,6
Ferida,5.32,2.62,6.88,6
Fermento,6.05,4.96,4.9,8
Feroz,3.18,4.51,6.9,5
Festa,4.65,7.61,4.26,5
Filhos,6.21,6.7,6.22,6
Fim,2.54,4.07,5.46,3
Fina,3.21,5.15,3.65,4
Fincar,4.25,4.26,5.55,6
Fio,5.74,4.75,4.94,3
Flâmula,3.9,5.16,4.63,7
Flexível,3.19,7.05,3.66,8
Flor,6.69,7.1,2.52,4
Fobia,2.29,2.24,7.45,5
Fofo,3.43,6.69,2.79,4
Fofoca,3.06,2.5,6.31,6
Fogão,6.65,5.43,4.86,5
Fogo,6.41,5.02,6.66,4
Fome,3.14,2.19,7.23,4
Forçado,2.37,2.55,6.76,7
Formado,2.9,7.42,4.01,7
Forte,3.53,7.08,4.47,5
Fracasso,2.49,1.51,7.85,8
Frágil,2.95,3.72,5.11,6
Fragrância,3.86,7.08,3.76,10
Francês,3.74,5.04,4.72,7
Freira,6.37,4.77,3.93,6
Frescor,2.85,6.69,2.84,7
Frio,3.42,4.65,4.74,4
Frustração,2.39,2.07,7.57,10
Fruta,6.57,6.94,3.35,5
Fuga,3.92,4.53,6.85,4
Fumar,5.22,2.69,6.44,5
Fundo,3.66,4.38,5.83,5
Fúnebre,2.92,2.34,6.8,7
Funeral,4.78,2,7.23,7
Furar,4.49,4.04,5.17,5
Fúria,2.45,2.91,7.42,5
Furto,4.9,2.11,7.64,5
Futebol,5.59,5.45,4.89,7
Fuzilar,4.23,2.21,7.81,7
Galinha,6.77,5.29,3.9,7
Gargalhada,4.53,8.23,3.82,10
Garras,5.25,4.03,6.45,6
Gasolina,6.42,4.86,5.75,8
Gato,6.75,4.76,3.86,4
Geladeira,6.8,6.26,3.97,9
Gelo,6.38,5.23,3.97,4
Gentileza,3.15,8.08,2.52,9
Gigante,4.54,4.84,5.14,7
Girafa,6.78,5.46,3.88,6
Glória,2.18,7.49,4.29,6
Goiaba,6.79,6.42,3.63,6
Gol,5.35,6.56,5.04,3
Gola,6.39,4.55,3.79,4
Gordo,5.65,2.86,5.83,5
Gordura,4.75,3.09,6.59,7
Gosma,5.23,2.65,5.95,5
Gostoso,3.25,7.86,3.34,7
Gozador,2.99,5.15,5.74,7
Gozo,3.17,7.49,4.34,4
Graça,2.25,7.36,2.93,5
Gracioso,2.17,7.22,3.02,8
Grade,6.28,3.78,5.9,5
Grama,6.55,5.79,3.07,5
Grande,3.76,6.27,4.71,6
Gravador,6.37,4.67,4.78,8
Gravata,6.63,5.04,5.01,7
Gripe,3.86,2.49,6.14,5
Grito,4.13,3.88,6.98,5
Grosseria,2.42,2.21,7.15,9
Grosso,4.63,2.75,6.29,6
Guerra,3.97,2.07,7.68,6
Guitarra,6.69,5.9,4.91,8
Guloseima,4.88,7.14,4.28,9
Habitante,5.43,5.34,4.41,9
Harmonia,1.96,8.01,2.27,8
Haste,5.46,5.06,4.05,5
Hecatombe,2.72,3.66,6.04,9
Hino,4.3,5.74,4.29,4
Histérico,3.04,2.94,7.02,9
Homem,6.08,5.73,4.62,5
Homicídio,4.08,1.7,7.82,9
Honestidade,2.56,8.22,3.1,11
Honra,2.15,7.71,4.12,5
Horizonte,3.81,7.23,2.3,9
Horrível,2.55,2.17,7.06,8
Hospital,6.56,3.68,6.81,8
Identificação,2.84,5.92,4.86,13
Igreja,6.23,6.45,3.75,6
Imbecil,2.3,2.59,6.41,7
Imoral,2.19,3.03,6.8,6
Império,4.21,4.82,4.84,7
Impiedade,2.44,1.96,7.41,9
Impotente,2.42,2.52,6.3,9
Incentivo,2.57,7.6,3.92,9
Incômodo,2.75,2.54,6.58,8
Independência,2.53,8.11,5.04,13
Infância,4.15,7.26,3.17,8
Infidelidade,2.98,2.31,7.23,12
Injeção,6.33,3.27,6.72,7
Injustiça,2.57,1.67,8.01,9
Inocência,2.17,5.97,3.38,9
Insegurança,2.16,1.89,6.97,11
Inseto,5.78,3.32,5.86,6
Instrumento,5.72,6.24,3.89,11
Insuportável,2.13,2.08,7.57,12
Inteligência,2.31,8.18,4.3,12
Inteligente,2.51,7.83,4.15,11
Intragável,2.3,2.83,6.8,10
Inverno,4.17,6.47,3.98,7
Ira,2.71,2.51,7.79,3
Irritação,2.86,2,7,9
Isqueiro,6.52,3.88,4.98,8
Janela,6.48,5.63,3.69,6
Jaqueta,6.73,5.49,3.44,7
Jardim,6.47,7.34,2.32,6
Jaula,6.5,2.04,7.15,5
Jesus,4.3,7.77,3.4,5
Jovem,4.87,7.01,3.65,5
Juba,5.68,4.47,4.8,4
Julgamento,3.08,3.49,6.62,10
Justiça,2.61,7.35,5.47,7
Justo,2.5,7.57,4.02,5
Juventude,2.94,7.18,4.07,9
Lã,6.29,5.56,3.54,2
Ladrão,5.49,1.61,8.05,6
Lagoa,6.42,7.3,2.93,5
Lágrima,5.81,3.75,5.89,7
Lancha,6.55,6.38,4.45,6
Lanche,6.03,7.52,3.68,6
Lanchonete,6.19,7.03,3.64,10
Lápis,6.72,5.48,4.16,5
Laranja,6.47,6.39,4.64,7
Lareira,6.3,6.46,3.5,7
Lata,6.72,4.86,4.4,4
Látex,5.29,5.13,4.8,5
Leão,6.65,5.03,6.5,4
Leite,6.63,6.31,3.33,5
Lembrança,2.39,7,3.56,9
Lento,2.95,3.37,4.28,5
Lerdo,2.72,2.9,6.23,5
Lesma,6.61,3.34,4.17,5
Letra,5.25,5.53,3.99,5
Leveza,2.44,6.99,2.08,6
Liberdade,2.34,7.92,4.34,9
Líder,4.02,6.5,5.48,5
Limpar,4.05,5.13,4.25,6
Linha,5.36,4.91,4.11,5
Livre,2.4,7.59,2.8,5
Livro,6.69,7.43,3.82,5
Lixa,6.57,4.45,4.59,4
Lixo,5.68,2.55,6.07,4
Locomoção,3.91,6.21,4.92,9
Longe,2.83,4.28,5.7,5
Louça,6.16,3.88,5.08,5
Loucura,2.47,4.48,6.9,7
Lua,6.25,7.75,2.85,3
Luar,4.78,7.58,3.29,4
Lugar,3.06,5.89,4.07,5
Luto,3.41,2.01,6.24,4
Luz,4.75,7.52,3.23,3
Maçã,6.84,6.49,3.62,4
Macho,4.58,5,4.91,5
Machucado,5.11,2.28,6.73,9
Macio,3.96,6.73,2.32,5
Maconha,5.86,3.03,6.31,7
Macumba,2.78,2.29,6.75,7
Madeira,6.45,4.95,4.15,7
Madura,3.71,6.28,4.47,6
Mãe,5.95,8.35,2.72,3
Mágoa,2.5,2.03,6.9,5
Magro,5.27,5.83,3.85,5
Majestade,4.33,5.68,4.79,9
Mal,2.78,2.11,7.68,3
Mal-estar,2.06,1.95,6.83,9
Maligno,2.53,1.82,7.32,7
Manga,6.23,6.33,3.87,5
Manteiga,6.48,5.48,4.31,8
Mão,6.76,6.16,4.05,3
Máquina,5.44,5.63,5.21,7
Mar,6.63,7.94,3.13,3
Maracujá,6.62,6.71,3.05,8
Maravilhosa,2.28,7.83,3.21,11
Marca,3.62,5.37,3.86,5
Marcha,4.89,4.82,4.97,6
Margarina,6.34,5.36,4.04,9
Margem,4.54,5.22,4.76,6
Marido,5.89,5.96,5.12,6
Marte,5.48,4.79,4.97,5
Masculino,4.33,5.58,4.34,9
Massa,5.01,6.46,4.3,5
Mastro,6.03,4.85,4.09,6
Material,4.35,5.22,4.54,8
Médico,6.18,5.66,5.7,6
Medida,2.84,4.69,4.48,6
Medo,2.52,2.54,7.36,4
Meia,6.18,5.8,3.49,4
Meiga,2.66,7.44,3.19,5
Mel,6.2,7.05,3.22,3
Melancia,6.81,6.59,3.47,8
Melancolia,2.23,2.4,5.25,10
Melodia,3.48,7.77,2.61,7
Menina,6.06,7.06,4.36,6
Mentira,2.76,2.01,7.5,7
Mesa,6.89,5.46,3.64,4
Metal,5.57,5.04,4.96,5
Metrópole,5,4.65,6.25,9
Militar,5.67,4.65,6.2,7
Moda,2.94,5.76,4.14,4
Momento,2.13,6.2,3.98,7
Monarquia,3.33,4.07,5.33,9
Montanha,6.14,6.54,3.87,8
Moradia,4.83,7.63,3.51,7
Morango,6.63,7.3,2.77,7
Mordida,5.36,4.16,5.75,7
Morro,5.9,4.8,5.31,5
Morte,3.04,2.43,7.61,5
Mosca,6.61,2.43,6.02,5
Moto,6.66,4.91,5.56,4
Motor,6.41,5.01,4.86,5
Móvel,5.54,5.79,4.05,5
Movimento,3.2,6.46,4.38,9
Mulher,6.3,6.84,4.97,6
Multidão,5.23,4.21,6.99,8
Muro,6.53,4.11,4.52,4
Músculos,6.23,6.7,4.69,8
Música,4.34,8.1,2.61,6
Nação,3.53,6.31,5.18,5
Nada,1.61,4.04,4.37,4
Nadar,5.15,6.71,4.08,5
Namorado,5.42,7.14,4.54,8
Namoro,3.97,7.84,4.09,6
Nariz,6.54,5.49,4.47,5
Nascimento,3.67,7.45,4.43,10
Natureza,4.06,7.91,2.56,8
Navalha,6.33,3.49,6.63,7
Necessidade,2.19,4.82,5.88,11
Negativo,2.49,2.49,6.46,8
Negro,5.12,5.75,3.57,5
Nervosismo,2.57,2.08,7.44,10
Neve,5.97,6.18,3.25,4
Nicotina,4.12,2.05,6.41,8
Nobreza,2.5,6.02,4.3,7
Noite,4.77,7.33,3.59,5
Nojo,2.36,2.53,6.59,4
Notas,4.16,5.93,6.5,5
Novo,2.85,7.19,4.31,4
Nudez,5.37,5.72,6.02,5
Nutritiva,3.51,7.12,3.2,9
Nuvens,5.84,6.73,2.98,6
Obedecer,2.54,5.07,5.73,8
Objetivo,2.7,7.56,5.65,8
Objeto,6.11,5.35,4.45,6
Obrigar,2.46,2.21,6.94,7
Obstáculo,3.59,4.15,6.35,9
Ódio,2.21,2.22,7.72,4
Odor,3.21,4.43,6.1,4
Olfato,3.99,6.36,4.22,6
Onça,6.74,4.67,6.21,4
Oprimido,2.52,1.82,6.97,8
Ordem,2.35,5.79,5.3,5
Orgânico,3.86,6.04,4.2,8
Organização,2.93,6.6,4.35,11
Orgulho,2.44,4.98,5.24,7
Ouvinte,4.03,6.18,4.09,7
Ouvir,3.33,6.69,3.86,5
Paciência,1.92,6.29,3.59,9
Pai,6.11,7.56,4.14,3
País,4.35,6.11,5.41,4
Paisagem,4.73,7.75,3.07,8
Paixão,2.5,7.87,4.98,6
Palácio,5.75,7.02,3.4,7
Paladar,3.4,7.13,4.29,7
Palheiro,5.57,4.86,4.03,8
Panela,6.56,4.83,4.43,6
Pânico,2.33,2.42,7.7,6
Pano,6.29,4.96,4.4,4
Pão,6.79,6.83,3.35,3
Paparicar,2.72,6.43,3.86,9
Papel,6.64,5.33,4.05,5
Paquerar,3.42,7.55,4.66,8
Paraíso,2.97,8.23,2.58,7
Paranóico,2.39,3,7.35,9
Parar,3.55,4.04,4.72,5
Parede,6.69,4.5,4.68,6
Passada,2.62,4.65,4.47,7
Pássaros,6.34,7.28,2.88,8
Patas,6.24,5.28,4.25,5
Pátio,5.44,6.18,3.72,5
Pato,6.86,5.6,3.58,4
Pátria,3.12,6.87,4.38,6
Pavor,2.99,2.48,7.75,5
Paz,2.23,7.97,2.37,3
Pé,6.69,5.14,3.65,2
Pecado,2.29,3.36,6.41,6
Peçonha,3.32,2.95,6.58,7
Pedra,6.65,4.81,4.85,5
Peixe,6.76,5.99,4.07,5
Pele,5.79,6.62,4.49,4
Peluda,4.9,3.39,5.91,6
Pequena,3.67,5.06,3.88,7
Pêra,6.82,5.93,2.75,4
Perda,2.57,2.11,7.32,5
Perdoar,2.41,7.36,3.62,7
Perfume,5.34,7.3,3.13,7
Perigo,3.17,3.12,7.87,6
Pernas,6.58,6.71,4.8,6
Persiana,6.65,5.58,3.72,8
Pesadelo,2.84,1.93,7.8,8
Pesca,4.95,6.24,3.45,5
Peso,3.85,4.17,6.35,4
Pêssego,6.47,6.29,3.37,7
Pessoa,5.36,6.72,4.65,6
Picada,5.3,2.55,6.88,6
Pico,4.58,5.39,5.59,4
Pires,6.36,5.12,4.38,5
Pisar,4.56,4.98,5.11,5
Planeta,5.6,6.01,5.47,7
Plenitude,1.84,7.19,3.22,9
Pneu,6.78,4.49,4.96,4
Pó,5.61,3.66,5.49,2
Pobreza,4.35,2.22,7.09,7
Poder,2.27,6.29,5.99,5
Podre,3.48,2.22,6.79,5
Poema,4.27,6.84,2.82,5
Polícia,5.94,4.35,6.38,7
Policial,6.44,4.68,5.97,8
Poltrona,6.66,7.18,2.71,8
Poluição,4.5,2.28,7.36,8
Ponta,4.8,4.55,4.9,5
Ponte,6.47,5.33,4.63,5
População,4.96,5.26,5.51,9
Porcelana,5.91,5.5,3.98,9
Porco,6.7,3.7,4.98,5
Porta,6.62,5.77,4.27,5
Prato,6.88,5.89,3.64,5
Prazer,3.02,8.19,4.02,6
Preconceito,1.97,2.31,7.03,11
Prédio,6.53,5.09,4.32,6
Preguiça,3.08,3.42,3.73,8
Prejudicial,2.64,2.22,7.23,11
Presídio,6.08,2.38,7.49,8
Preto,4.97,5.67,4.59,5
Prisão,5.45,2.01,7.4,6
Problema,2.83,2.21,7.4,8
Professor,6.11,6.09,5.27,9
Profissional,3.43,7.4,4.59,12
Proteção,2.67,8.03,3.58,8
Prova,5.51,4.23,7.39,5
Psicólogo,5.12,5.43,4.71,9
Pular,4.93,6.31,5.39,5
Pulmão,6.26,6.26,4.37,6
Pulseira,6.37,5.37,3.86,8
Pureza,2.19,7.6,2.31,6
Quartel,5.92,3.68,6.2,7
Quarto,5.91,7.23,3.13,6
Quebrada,3.1,2.9,5.62,8
Queijo,6.76,6.38,3.76,6
Quente,3.76,4.87,4.96,6
Raça,3.54,5.04,4.37,4
Racional,2.51,6.37,4.49,8
Rádio,6.72,6.36,3.56,5
Rainha,5.46,5.93,4.23,6
Raiva,2.72,2.46,7.65,5
Rancor,1.98,2.34,6.5,6
Rápido,3.08,5.8,5.5,6
Realização,2.44,7.87,4.11,10
Reciclagem,3.95,6.92,4,10
Reciprocidade,2.37,7.27,3.67,13
Rede,5.72,6.84,3.52,4
